audio_id,file,duration,effort_status,effort_confidence,contact,breathiness,register,stability,presence,brightness,airiness,texture,harmonic_concentration,source_balance,high_note_available,fingerprint
5662e8094f66,C:\VocalAgent\runtime\diagnostic_sessions\e9039df1e37d44719bf930cf695ead64\tasks\high_note_sustain_a\attempt_1\upload.webm,,LOW,medium,AMBIGUOUS,UNKNOWN,CHEST_DOMINANT,STABLE,LOW,LOW,LOW,UNKNOWN,0.677,OBSERVED,False,LOW|AMBIGUOUS|UNKNOWN|CHEST_DOMINANT|STABLE|LOW|LOW
5e7819c3abb4,C:\VocalAgent\bluemoon.m4a,,MODERATE,medium,FIRM,LOW,TRANSITION_UNSTABLE,STABLE,UNAVAILABLE,UNAVAILABLE,LOW,UNKNOWN,UNKNOWN,UNKNOWN,False,MODERATE|FIRM|LOW|TRANSITION_UNSTABLE|STABLE|UNAVAILABLE|UNAVAILABLE
5fdfa9eb73e5,C:\VocalAgent\drowning.m4a,,LOW,medium,FIRM,UNKNOWN,TRANSITION_EVENTS,STABLE,HIGH,HIGH,UNAVAILABLE,UNKNOWN,UNKNOWN,OBSERVED,False,LOW|FIRM|UNKNOWN|TRANSITION_EVENTS|STABLE|HIGH|HIGH
6b3aa0d0ddfb,C:\VocalAgent\runtime\diagnostic_sessions\c84304fcb6b843d2a1e6eb5087134291\tasks\siren\attempt_1\upload.webm,,LOW,medium,FIRM,UNKNOWN,TRANSITION_UNSTABLE,STABLE,LOW,LOW,LOW,UNKNOWN,0.409,OBSERVED,False,LOW|FIRM|UNKNOWN|TRANSITION_UNSTABLE|STABLE|LOW|LOW
6fb8c8208c80,C:\VocalAgent\movie.m4a,,LOW,medium,UNKNOWN,LOW,TRANSITION_UNSTABLE,STABLE,UNAVAILABLE,UNAVAILABLE,LOW,UNKNOWN,UNKNOWN,UNKNOWN,False,LOW|UNKNOWN|LOW|TRANSITION_UNSTABLE|STABLE|UNAVAILABLE|UNAVAILABLE
70479ec67665,C:\VocalAgent\runtime\diagnostic_sessions\f973bce50557481fad8ba55a40bcb21c\tasks\high_note_sustain_a\attempt_1\upload.webm,,LOW,medium,FIRM,LOW,CHEST_DOMINANT,STABLE,MID,LOW,LOW,UNKNOWN,0.433,OBSERVED,False,LOW|FIRM|LOW|CHEST_DOMINANT|STABLE|MID|LOW
7436d634b9bf,C:\VocalAgent\runtime\bdca833fe26d42dda76ffc469ee9b68b\upload.webm,,LOW,medium,FIRM,UNKNOWN,CHEST_DOMINANT,STABLE,LOW,LOW,LOW,UNKNOWN,0.638,OBSERVED,True,LOW|FIRM|UNKNOWN|CHEST_DOMINANT|STABLE|LOW|LOW
7abf49d0b4cd,C:\VocalAgent\runtime\fce31e25965045ea8778700dad4b31cc\upload.webm,,UNKNOWN,low,UNKNOWN,UNKNOWN,TRANSITION_EVENTS,STABLE,LOW,LOW,UNAVAILABLE,UNKNOWN,UNKNOWN,OBSERVED,False,UNKNOWN|UNKNOWN|UNKNOWN|TRANSITION_EVENTS|STABLE|LOW|LOW
7b8c45cdd16b,C:\VocalAgent\runtime\0cc29f91aee74ab29f02519e3b381df5\upload.wav,4.0,UNKNOWN,low,UNKNOWN,UNKNOWN,UNRESOLVED,STABLE,LOW,LOW,UNAVAILABLE,UNKNOWN,UNKNOWN,OBSERVED,False,UNKNOWN|UNKNOWN|UNKNOWN|UNRESOLVED|STABLE|LOW|LOW
8156c1254947,C:\VocalAgent\요즘 바쁜가봐.m4a,,MODERATE,medium,FIRM,UNKNOWN,UNRESOLVED,STABLE,LOW,MID,LOW,UNKNOWN,0.554,OBSERVED,True,MODERATE|FIRM|UNKNOWN|UNRESOLVED|STABLE|LOW|MID
882c5cd5a0c8,C:\VocalAgent\runtime\diagnostic_sessions\46eaac51bdab4d2fa6108ee3e736b757\tasks\sustain_a\attempt_1\upload.webm,,LOW,medium,AMBIGUOUS,UNKNOWN,CHEST_DOMINANT,STABLE,LOW,LOW,LOW,UNKNOWN,0.59,OBSERVED,False,LOW|AMBIGUOUS|UNKNOWN|CHEST_DOMINANT|STABLE|LOW|LOW
8b5617784c9c,C:\VocalAgent\runtime\336e27a3d2af432aaecb554c46dbcc90\upload.wav,1.0,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,False,UNKNOWN|UNKNOWN|UNKNOWN|UNKNOWN|UNKNOWN|UNAVAILABLE|UNAVAILABLE
90147c986aae,C:\VocalAgent\runtime\7a90a8f1a59b41c6b0f8e7c678b4a9df\upload.webm,,UNKNOWN,low,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,False,UNKNOWN|UNKNOWN|UNKNOWN|UNKNOWN|UNKNOWN|UNAVAILABLE|UNAVAILABLE
90ac5e34aedd,C:\VocalAgent\backend\runtime\e0e6361733b34633a1cd095d9d0b020e\upload.wav,1.0,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,False,UNKNOWN|UNKNOWN|UNKNOWN|UNKNOWN|UNKNOWN|UNAVAILABLE|UNAVAILABLE
95b54db5ba3d,C:\VocalAgent\runtime\diagnostic_sessions\e9039df1e37d44719bf930cf695ead64\tasks\dynamic_swell\attempt_1\upload.webm,,LOW,medium,AMBIGUOUS,LOW,UNRESOLVED,STABLE,LOW,LOW,LOW,UNKNOWN,UNKNOWN,OBSERVED,False,LOW|AMBIGUOUS|LOW|UNRESOLVED|STABLE|LOW|LOW
983379d1fe46,C:\VocalAgent\runtime\diagnostic_sessions\e9039df1e37d44719bf930cf695ead64\tasks\sustain_i\attempt_1\upload.webm,,LOW,medium,LIGHT,UNKNOWN,CHEST_DOMINANT,STABLE,LOW,LOW,LOW,UNKNOWN,1.0,OBSERVED,False,LOW|LIGHT|UNKNOWN|CHEST_DOMINANT|STABLE|LOW|LOW
99023e55f0f5,C:\VocalAgent\호흡많고헤드.m4a,,LOW,medium,FIRM,LOW,CHEST_DOMINANT,STABLE,LOW,LOW,LOW,UNKNOWN,0.605,OBSERVED,False,LOW|FIRM|LOW|CHEST_DOMINANT|STABLE|LOW|LOW
9e6b39daf637,C:\VocalAgent\runtime\4532e16bdda743b99052bda7bb0fa469\upload.wav,3.0,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,False,UNKNOWN|UNKNOWN|UNKNOWN|UNKNOWN|UNKNOWN|UNAVAILABLE|UNAVAILABLE
a29f829eedd0,C:\VocalAgent\runtime\2321ae4482414bd4ad33796695d1f1ee\upload.webm,,UNKNOWN,low,UNKNOWN,UNKNOWN,STABLE_LIKE,STABLE,MID,LOW,UNAVAILABLE,UNKNOWN,UNKNOWN,OBSERVED,False,UNKNOWN|UNKNOWN|UNKNOWN|STABLE_LIKE|STABLE|MID|LOW
a69d81db3e48,C:\VocalAgent\runtime\f189a3aec64944648c138fb3af97ff74\upload.webm,,LOW,medium,FIRM,LOW,CHEST_DOMINANT,STABLE,LOW,LOW,LOW,UNKNOWN,0.719,OBSERVED,True,LOW|FIRM|LOW|CHEST_DOMINANT|STABLE|LOW|LOW
a77ba822cbfe,C:\VocalAgent\runtime\00588c90e6f3431b868eb274540a2e48\upload.wav,3.0,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,False,UNKNOWN|UNKNOWN|UNKNOWN|UNKNOWN|UNKNOWN|UNAVAILABLE|UNAVAILABLE
a7c957603751,C:\VocalAgent\좋은사람.m4a,,LOW,medium,FIRM,LOW,HEAD_DOMINANT,STABLE,LOW,MID,LOW,UNKNOWN,0.563,OBSERVED,True,LOW|FIRM|LOW|HEAD_DOMINANT|STABLE|LOW|MID
a888cb14dd6a,C:\VocalAgent\runtime\7968846c14a24f61954480da44b2a392\upload.webm,,LOW,medium,UNKNOWN,LOW,UNKNOWN,STABLE,UNAVAILABLE,UNAVAILABLE,LOW,UNKNOWN,UNKNOWN,UNKNOWN,False,LOW|UNKNOWN|LOW|UNKNOWN|STABLE|UNAVAILABLE|UNAVAILABLE
aba38287641d,C:\VocalAgent\runtime\1183bbb7c8554599badbb4ab69e7ba23\upload.webm,,UNKNOWN,low,UNKNOWN,LOW,UNKNOWN,REPEATED_IRREGULAR,UNAVAILABLE,UNAVAILABLE,LOW,UNKNOWN,UNKNOWN,UNKNOWN,False,UNKNOWN|UNKNOWN|LOW|UNKNOWN|REPEATED_IRREGULAR|UNAVAILABLE|UNAVAILABLE
aef8b974cfb0,C:\VocalAgent\love again.m4a,,LOW,medium,LIGHT,UNKNOWN,HEAD_DOMINANT,STABLE,LOW,LOW,MID,UNKNOWN,0.567,OBSERVED,False,LOW|LIGHT|UNKNOWN|HEAD_DOMINANT|STABLE|LOW|LOW
b4b7ce279c98,C:\VocalAgent\runtime\c33e338ba1a04e7aa158fcc35215f5c0\upload.webm,,LOW,medium,UNKNOWN,LOW,STABLE_LIKE,REPEATED_IRREGULAR,LOW,LOW,LOW,UNKNOWN,UNKNOWN,OBSERVED,False,LOW|UNKNOWN|LOW|STABLE_LIKE|REPEATED_IRREGULAR|LOW|LOW
b960707ab2f6,C:\VocalAgent\runtime\diagnostic_sessions\c84304fcb6b843d2a1e6eb5087134291\tasks\sustain_a\attempt_1\upload.webm,,LOW,medium,AMBIGUOUS,LOW,CHEST_DOMINANT,STABLE,LOW,LOW,LOW,UNKNOWN,0.724,OBSERVED,True,LOW|AMBIGUOUS|LOW|CHEST_DOMINANT|STABLE|LOW|LOW
b9ff5bf02262,C:\VocalAgent\runtime\diagnostic_sessions\f973bce50557481fad8ba55a40bcb21c\tasks\dynamic_swell\attempt_1\upload.webm,,LOW,medium,LIGHT,LOW,UNRESOLVED,STABLE,UNAVAILABLE,UNAVAILABLE,LOW,UNKNOWN,UNKNOWN,UNKNOWN,False,LOW|LIGHT|LOW|UNRESOLVED|STABLE|UNAVAILABLE|UNAVAILABLE
bdb75679732a,C:\VocalAgent\runtime\0547c7e124584191b7db3f126479425e\upload.webm,,LOW,medium,UNKNOWN,LOW,TRANSITION_EVENTS,REPEATED_IRREGULAR,LOW,LOW,LOW,UNKNOWN,UNKNOWN,OBSERVED,False,LOW|UNKNOWN|LOW|TRANSITION_EVENTS|REPEATED_IRREGULAR|LOW|LOW
c01fc220195f,C:\VocalAgent\runtime\diagnostic_sessions\9794b5ceaddf434d9fcec7115a9be1ea\tasks\sustain_a\attempt_1\upload.webm,4.2,UNKNOWN,low,UNKNOWN,UNKNOWN,UNRESOLVED,STABLE,LOW,LOW,UNAVAILABLE,UNKNOWN,UNKNOWN,OBSERVED,False,UNKNOWN|UNKNOWN|UNKNOWN|UNRESOLVED|STABLE|LOW|LOW
c1815547c828,C:\VocalAgent\runtime\f82ace5a518a418d8fd71bcaecd271b8\upload.webm,,LOW,medium,FIRM,LOW,UNRESOLVED,STABLE,MID,LOW,LOW,UNKNOWN,0.688,OBSERVED,True,LOW|FIRM|LOW|UNRESOLVED|STABLE|MID|LOW
c1f4910eafe2,C:\VocalAgent\runtime\e7d6b8168bc64bed95f5a7cf2f27c204\upload.wav,1.0,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,False,UNKNOWN|UNKNOWN|UNKNOWN|UNKNOWN|UNKNOWN|UNAVAILABLE|UNAVAILABLE
c3fca76b89b8,C:\VocalAgent\runtime\02ca15a9e9a542cf99c19dfd6c9d1fe2\upload.webm,,LOW,medium,UNKNOWN,UNKNOWN,TRANSITION_EVENTS,STABLE,LOW,LOW,UNAVAILABLE,UNKNOWN,UNKNOWN,OBSERVED,False,LOW|UNKNOWN|UNKNOWN|TRANSITION_EVENTS|STABLE|LOW|LOW
c5b20be3c802,C:\VocalAgent\runtime\9dff792efb0e44f59e4dd49882ed4ef2\upload.webm,,UNKNOWN,low,UNKNOWN,LOW,STABLE_LIKE,INTERMITTENT,HIGH,MID,LOW,UNKNOWN,UNKNOWN,OBSERVED,False,UNKNOWN|UNKNOWN|LOW|STABLE_LIKE|INTERMITTENT|HIGH|MID
c5cd93ed40a3,C:\VocalAgent\runtime\396250c8f971409e9b54d79d8ac9f2c7\upload.webm,,LOW,medium,LIGHT,UNKNOWN,MIX_LIKE_CHEST_DOMINANT,STABLE,LOW,LOW,LOW,UNKNOWN,0.841,OBSERVED,True,LOW|LIGHT|UNKNOWN|MIX_LIKE_CHEST_DOMINANT|STABLE|LOW|LOW
c8d4b24b6f55,C:\VocalAgent\runtime\7e467a88f8c845aa9b8587afd4fc90ee\upload.webm,,LOW,medium,UNKNOWN,LOW,TRANSITION_EVENTS,REPEATED_IRREGULAR,LOW,LOW,LOW,UNKNOWN,UNKNOWN,OBSERVED,False,LOW|UNKNOWN|LOW|TRANSITION_EVENTS|REPEATED_IRREGULAR|LOW|LOW
ca43bc2b048b,C:\VocalAgent\runtime\b43b58d4cfc544c28d4d809a6ad5c02c\upload.wav,1.0,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,False,UNKNOWN|UNKNOWN|UNKNOWN|UNKNOWN|UNKNOWN|UNAVAILABLE|UNAVAILABLE
cfc6b206e99b,C:\VocalAgent\runtime\03cb924ff7534aa38d568bc87513dfbb\upload.wav,2.0,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,False,UNKNOWN|UNKNOWN|UNKNOWN|UNKNOWN|UNKNOWN|UNAVAILABLE|UNAVAILABLE
d03ad168d8d7,C:\VocalAgent\runtime\diagnostic_sessions\46eaac51bdab4d2fa6108ee3e736b757\tasks\siren\attempt_1\upload.webm,,LOW,medium,FIRM,UNKNOWN,CHEST_DOMINANT,STABLE,LOW,LOW,LOW,UNKNOWN,0.555,OBSERVED,True,LOW|FIRM|UNKNOWN|CHEST_DOMINANT|STABLE|LOW|LOW
d241c8e7a734,C:\VocalAgent\기모그.m4a,,LOW,medium,FIRM,LOW,TRANSITION_UNSTABLE,STABLE,LOW,LOW,LOW,UNKNOWN,0.545,OBSERVED,True,LOW|FIRM|LOW|TRANSITION_UNSTABLE|STABLE|LOW|LOW
d395d6bc40d4,C:\VocalAgent\runtime\diagnostic_sessions\c84304fcb6b843d2a1e6eb5087134291\tasks\dynamic_swell\attempt_1\upload.webm,,UNKNOWN,low,UNKNOWN,UNKNOWN,UNRESOLVED,STABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,False,UNKNOWN|UNKNOWN|UNKNOWN|UNRESOLVED|STABLE|UNAVAILABLE|UNAVAILABLE
d399575eeebe,C:\VocalAgent\runtime\diagnostic_sessions\e9039df1e37d44719bf930cf695ead64\tasks\siren\attempt_1\upload.webm,,LOW,medium,FIRM,UNKNOWN,CHEST_DOMINANT,STABLE,LOW,LOW,LOW,UNKNOWN,0.586,OBSERVED,True,LOW|FIRM|UNKNOWN|CHEST_DOMINANT|STABLE|LOW|LOW
d46938baf1fc,C:\VocalAgent\runtime\5f423fdb91574d9b9df7dbeee9b18f0f\upload.wav,1.0,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,False,UNKNOWN|UNKNOWN|UNKNOWN|UNKNOWN|UNKNOWN|UNAVAILABLE|UNAVAILABLE
d5045bc290a1,C:\VocalAgent\거의동115.m4a,,LOW,medium,UNKNOWN,LOW,TRANSITION_EVENTS,STABLE,LOW,LOW,LOW,UNKNOWN,UNKNOWN,OBSERVED,False,LOW|UNKNOWN|LOW|TRANSITION_EVENTS|STABLE|LOW|LOW
d87efe3c048b,C:\VocalAgent\runtime\diagnostic_sessions\f973bce50557481fad8ba55a40bcb21c\tasks\sustain_a\attempt_1\upload.webm,,LOW,medium,FIRM,UNKNOWN,CHEST_DOMINANT,STABLE,MID,LOW,LOW,UNKNOWN,0.547,OBSERVED,False,LOW|FIRM|UNKNOWN|CHEST_DOMINANT|STABLE|MID|LOW
e1c87ca2521c,C:\VocalAgent\runtime\78510f3622e64f1dbe00be542b3fdaa9\upload.webm,,LOW,medium,FIRM,UNKNOWN,CHEST_DOMINANT,STABLE,LOW,LOW,LOW,UNKNOWN,0.718,OBSERVED,True,LOW|FIRM|UNKNOWN|CHEST_DOMINANT|STABLE|LOW|LOW
e67deea6f112,C:\VocalAgent\runtime\8d5a87bf67a04919a8e39245a47de599\upload.webm,,LOW,medium,FIRM,LOW,CHEST_DOMINANT,STABLE,MID,LOW,LOW,UNKNOWN,0.583,OBSERVED,False,LOW|FIRM|LOW|CHEST_DOMINANT|STABLE|MID|LOW
e8314e2d9fd3,C:\VocalAgent\runtime\diagnostic_sessions\ba62f95fa43f43688d0dcd34aa0b336c\tasks\sustain_a\attempt_1\upload.webm,,LOW,medium,UNKNOWN,UNKNOWN,UNRESOLVED,STABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,False,LOW|UNKNOWN|UNKNOWN|UNRESOLVED|STABLE|UNAVAILABLE|UNAVAILABLE
e8b8aa373520,C:\VocalAgent\runtime\0cd50917f9ed40d1a9e62a9f5904268f\upload.wav,18.0,LOW,medium,LIGHT,HIGH,STABLE_LIKE,STABLE,LOW,LOW,HIGH,UNKNOWN,UNKNOWN,OBSERVED,False,LOW|LIGHT|HIGH|STABLE_LIKE|STABLE|LOW|LOW
ec93548d279f,C:\VocalAgent\옥탑방.m4a,,UNKNOWN,low,UNKNOWN,LOW,UNKNOWN,STABLE,UNAVAILABLE,UNAVAILABLE,LOW,UNKNOWN,UNKNOWN,UNKNOWN,False,UNKNOWN|UNKNOWN|LOW|UNKNOWN|STABLE|UNAVAILABLE|UNAVAILABLE
ed401e191813,C:\VocalAgent\runtime\diagnostic_sessions\f973bce50557481fad8ba55a40bcb21c\tasks\siren\attempt_1\upload.webm,,LOW,medium,FIRM,LOW,CHEST_DOMINANT,STABLE,LOW,LOW,LOW,UNKNOWN,0.417,OBSERVED,False,LOW|FIRM|LOW|CHEST_DOMINANT|STABLE|LOW|LOW
ee4a74e09cc1,C:\VocalAgent\runtime\diagnostic_sessions\c84304fcb6b843d2a1e6eb5087134291\tasks\sustain_i\attempt_1\upload.webm,,LOW,medium,AMBIGUOUS,UNKNOWN,CHEST_DOMINANT,STABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,False,LOW|AMBIGUOUS|UNKNOWN|CHEST_DOMINANT|STABLE|UNAVAILABLE|UNAVAILABLE
f17b7f4ff446,C:\VocalAgent\runtime\0ff873201e0f4ce8adeb1f176d39cb16\upload.webm,,LOW,medium,UNKNOWN,UNKNOWN,STABLE_LIKE,STABLE,LOW,LOW,UNAVAILABLE,UNKNOWN,UNKNOWN,OBSERVED,False,LOW|UNKNOWN|UNKNOWN|STABLE_LIKE|STABLE|LOW|LOW
f19129f7b4dc,C:\VocalAgent\runtime\diagnostic_sessions\f973bce50557481fad8ba55a40bcb21c\tasks\dynamic_swell\attempt_2\upload.webm,,LOW,medium,AMBIGUOUS,UNKNOWN,CHEST_DOMINANT,STABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,False,LOW|AMBIGUOUS|UNKNOWN|CHEST_DOMINANT|STABLE|UNAVAILABLE|UNAVAILABLE
fadd83f6eb33,C:\VocalAgent\가없너.m4a,,MODERATE,low,MID,LOW,TRANSITION_EVENTS,STABLE,LOW,LOW,LOW,UNKNOWN,UNKNOWN,OBSERVED,False,MODERATE|MID|LOW|TRANSITION_EVENTS|STABLE|LOW|LOW
