audio,audio_id,cluster_id,confidence,nearest_neighbor,nearest_similarity
upload.webm · d395d6bc,d395d6bc40d4,speaker_015,LOW,upload.webm · ed401e19,0.5119648174130398
upload.webm · d399575e,d399575eeebe,speaker_001,LOW,upload.webm · b960707a,0.6118787601242014
upload.wav · d46938ba,d46938baf1fc,speaker_005,LOW,upload.wav · a77ba822,0.9850495906148908
거의동115.m4a,d5045bc290a1,speaker_009,LOW,거의동116.m4a,0.8314273317668422
upload.webm · d87efe3c,d87efe3c048b,speaker_025,LOW,upload.webm · 2c9d61eb,0.8081388400130096
upload.webm · e1c87ca2,e1c87ca2521c,speaker_006,LOW,upload.webm · c3fca76b,0.7071222629516374
upload.webm · e67deea6,e67deea6f112,speaker_002,MEDIUM,upload.webm · c1815547,0.5886940679016051
upload.webm · e8314e2d,e8314e2d9fd3,speaker_025,LOW,upload.webm · 2c9d61eb,0.7598315341730157
upload.wav · e8b8aa37,e8b8aa373520,speaker_005,LOW,upload.webm · c01fc220,0.9999501343122433
옥탑방.m4a,ec93548d279f,speaker_009,LOW,거의동117.m4a,0.827217627965371
upload.webm · ed401e19,ed401e191813,speaker_001,LOW,upload.webm · d399575e,0.5990768511933167
upload.webm · ee4a74e0,ee4a74e09cc1,speaker_004,LOW,upload.webm · f17b7f4f,0.6018899572694878
upload.webm · f17b7f4f,f17b7f4ff446,speaker_004,LOW,호흡많고헤드.m4a,0.6580907694332244
upload.webm · f19129f7,f19129f7b4dc,speaker_008,MEDIUM,upload.webm · b9ff5bf0,0.7000041145437997
가없너.m4a,fadd83f6eb33,speaker_010,LOW,기모그.m4a,0.6294508080994798
